relation_id,relation_name
0,Leads_To
1,Has
2,Relate_To
3,Bring
4,Operate_In
5,Participates_In
6,Relate\_To
7,Help
8,Propose
9,Control
10, Benefit_From
11,Is_Member_Of
12,Applied_In
13,Used_For
14,Used_In
15,Give
16,Introduce
17,Support
18,Influence
19,Time_Dependent
20,Quantify
21,Indicate
22,Has_Not
23,Impact
24,Inspire
25,Solve
26,Applied_To
27,Characterized_By
28,Coin_In
29,Derived_For
30,"('Entropy_Regularization_for_Mean_Field_Games_with_Learning.pdf', 'DOC')"
31,Negative_Impact_On
32,DifferFrom
33,Learn
34,Interact_With
35,Build
36,Positive_Impact_On
37,Produce
38,Equal
39,Use
40,Follow
41,Proposed_In
42,Announce
43,Learned_From
44,Reduced_Nonstationarity
45,Have
46,Decrease
47,Raise
48,Operate\_In
49,Participates\_In
50,Measure
51,Contain
52,Treats
53,From
54,Useful_For
55,Is
56,Minimally Impacted By
57,Less_Than
58,Belongs_To
59,Maps_To
60,Outputs
61,Invests_In
62,Is\_Member\_Of
63,Minus
64,Used_By
65,Overpassed_By
66,Accessed_By
67,Collected_By
68,Commercialized_By
69,Consists_Of
70,Uses
71,Own
72,Operate
73,Develop
74,Author
75,Have_Implications
76,Conclude
77,Encourage
78,Not_Relate_To
79,Anonymize
80,Similar Levels
81,Identifying Information
82,Transform
83,Tested On
84,Result In
85,Evolve
86,High_Demand
87,Possible
88,Originally_Known_As
89,Owned_By
90,Operate_By
91,Published_In
92,Can_Be
93,Could_Lead_To
94,Can_Identify
95,When
96,Are
97,Collaborate
98,Publish
99,Possible_Violation_Of
100,Accessible_To
101,At_Time
102,Acquire
103,Demonstrate
104,Conduct
105,Include
106,Write
107,Allow
108,Classify
109,Less
110,De-trend
111,Discarded
112,Near
113,Makes
114,Reaches
115,Added_To
116,Manipulated
117, Ensure
118,May be applied to
119,Of the same length
120,May be kept
121,Track
122,Presented_At
123,Organized_By
124,Classified_As
125,Common_In
126,Summarized_In
127,Convert
128,Embedded_In
129,Involve
130,Walk
131,Attempted
132,Obscure
133,Release
134,Localize
135,Examine
136,Precision
137,Compare_To
138,Develop_For
139,Aggregate_Into
140,Help_In
141,Operate_On
142,Travel_To
143,Detected_By
144,Located_In
145,Evacuated
146,10_Minutes_Before
147,No_Footstep_Events
148,Used_To_Show
149,Of
150,Unable_To
151,Increase
152,Acceptable
153,Adequate
154,Threshold
155,Show
156,Perform
157,Predict
158,Compare
159,Measured By
160,Calculated By
161,Defined As
162,Follows
163,Present
164,Preserve
165,Utilize
166,Identify
167,Review
168,Synthesize
169,Assist
170,Host
171,Publish_In
172,Occur
173,Occur_In
174,NAN
175,Release_Year
176,Works_On
177,PublicationForum
178,PublishedOn
179,RelateTo
