entity_id_1,relation_id,entity_id_2
0,0,645
1,1,646
2,2,0
3,3,11
4,0,647
5,0,648
6,0,649
7,0,649
7,4,650
8,5,651
8,6,652
8,7,9
9,8,275
10,0,11
11,0,26
12,9,653
12,10,654
13,0,66
14,0,15
15,5,16
16,5,655
17,0,58
18,11,58
19,11,58
20,12,656
21,13,657
21,14,656
22,15,658
23,2,659
24,15,660
25,16,661
26,0,27
27,0,28
28,0,29
29,0,30
30,17,662
7,0,663
7,18,664
6,0,663
6,19,665
6,19,666
0,19,667
31,0,0
32,20,31
33,20,31
34,20,31
35,0,668
36,5,669
37,11,38
38,21,669
39,5,670
40,5,412
41,21,214
41,21,671
42,21,214
43,21,671
44,22,670
45,0,672
46,23,673
47,23,674
48,23,674
49,23,674
50,0,675
50,2,676
50,5,677
51,17,678
51,0,679
51,15,680
52,24,681
53,0,54
54,5,55
55,5,43
56,11,55
56,25,57
57,26,682
58,0,683
59,0,683
17,0,58
60,0,59
61,0,10
62,27,0
63,28,390
8,29,64
64,0,684
64,0,685
0,30,65
65,0,0
66,17,68
67,17,68
68,5,686
69,5,40
69,5,70
40,0,687
40,0,688
40,0,689
70,0,687
70,0,690
71,11,691
72,11,691
73,31,692
74,31,692
75,31,692
76,32,71
77,32,71
78,0,693
79,33,694
80,34,78
81,35,79
82,36,695
83,37,696
84,38,697
85,0,86
8,11,698
86,15,698
25,16,699
87,39,699
72,40,700
72,0,16
16,2,701
16,5,0
0,15,702
0,41,35
0,41,88
88,42,703
89,0,0
0,15,89
90,0,89
90,0,0
91,18,92
92,0,704
93,18,94
94,0,704
18,11,95
95,5,705
95,5,706
95,5,412
95,5,707
18,2,708
18,11,709
18,43,96
96,0,710
97,5,98
98,5,97
97,15,99
99,0,711
100,0,712
97,44,57
57,2,101
101,11,102
102,0,713
103,45,714
104,0,715
105,46,106
106,11,107
107,0,409
105,47,716
108,48,717
108,49,718
109,50,719
110,50,719
111,51,720
111,52,712
111,53,721
112,22,113
113,5,114
114,54,115
115,22,116
116,22,655
8,11,722
112,22,11
11,22,655
117,5,118
118,0,119
119,0,72
72,2,723
118,19,120
120,5,121
121,2,122
122,2,724
118,0,123
123,0,725
124,0,125
125,5,126
126,5,127
127,5,128
128,2,107
128,2,726
126,55,115
115,17,129
129,21,130
130,5,131
131,5,132
132,2,726
133,11,134
134,0,135
135,0,136
136,2,727
133,0,67
10,56,11
10,0,655
137,2,728
138,5,147
139,0,729
18,5,140
140,0,141
141,2,730
141,5,731
18,15,142
142,17,143
143,0,142
143,5,144
144,57,145
145,0,732
146,58,331
146,58,147
147,0,733
147,0,734
148,0,11
11,5,149
149,5,150
150,5,151
151,2,735
151,0,152
152,5,154
152,5,153
153,5,736
154,5,737
154,5,738
153,5,739
153,5,740
61,5,741
155,5,187
155,5,742
155,59,196
156,5,743
156,59,347
157,11,160
158,11,160
159,11,160
160,0,161
161,18,162
162,60,744
163,5,164
164,22,163
164,15,165
165,61,164
165,62,745
166,63,198
167,64,746
168,65,747
168,66,747
168,67,748
169,68,44
170,69,749
171,70,172
172,0,173
173,15,174
174,2,175
175,2,750
174,2,751
176,71,752
177,9,753
178,9,754
179,27,755
179,71,756
179,71,757
179,71,758
179,0,759
180,0,760
181,19,761
181,44,762
181,44,763
181,2,764
181,72,765
181,2,766
182,11,175
182,2,750
183,9,185
184,9,185
185,73,186
186,11,767
155,9,187
187,73,188
188,11,768
189,0,769
190,74,770
190,75,771
190,75,772
190,75,773
190,76,774
181,77,191
191,78,775
191,79,775
192,0,776
193,0,776
194,73,776
195,0,777
196,0,777
197,0,777
194,73,777
198,56,778
198,2,779
199,5,385
198,80,200
200,81,201
201,0,202
202,5,780
202,21,203
203,5,44
204,11,781
205,11,781
206,11,781
207,11,781
208,11,781
209,11,782
210,11,782
211,11,782
212,11,782
213,5,783
10,11,11
11,0,0
0,5,214
214,5,784
214,5,785
214,5,786
10,15,215
215,18,217
215,82,216
216,2,787
217,2,788
218,83,789
218,2,790
219,84,218
220,0,791
221,70,792
222,70,792
181,2,775
181,5,223
223,85,793
223,85,794
181,2,795
181,80,224
224,80,181
181,15,796
181,86,796
181,87,797
181,88,796
225,0,173
225,2,798
226,18,173
226,89,798
227,5,799
228,90,800
228,91,801
228,91,802
229,0,803
230,0,234
231,11,228
231,11,237
232,11,228
232,11,237
233,11,228
233,11,237
234,11,228
234,11,804
235,11,228
236,11,228
236,11,237
214,11,228
